Soma k1,Desvio Padrão k1,Soma k2,Desvio Padrão k2,Soma k3,Desvio Padrão k3,Soma k4,Desvio Padrão k4
24969.0,12.26285420933377,1483.0,1.7986877812380337,26108.0,11.521575141880557,1085.0,1.5073226211979307
25424.0,12.048149235463512,1448.0,1.7662743275040829,26629.0,11.274230139321045,1050.0,1.4647818736931448
25019.0,12.238362440881335,1485.0,1.79665216009527,26181.0,11.497065505352877,1069.0,1.5022429844652294
24103.0,12.641409369978295,1560.0,1.8958836989646806,25133.0,11.98422646583312,1136.0,1.5494837850071228
24301.0,12.536057354063717,1544.0,1.878836075872507,25349.0,11.873542657285356,1127.0,1.535653235393655
30568.0,9.61139818132617,1298.0,1.3050377149722532,32294.0,8.25900937991355,1389.0,1.3773104168541672
30328.0,9.422604470102732,1738.0,1.8234749621258857,32008.0,8.317600314994705,1420.0,1.4986973510352246
30489.0,9.495724346218934,1612.0,1.566427065011327,32150.0,8.301127088383842,1658.0,1.6255571160374527
30605.0,9.289602197315826,1619.0,1.6618465586133397,32325.0,8.325374780415293,1537.0,1.5314452681617452
30349.0,9.497281662895706,1304.0,1.2983739831034817,32045.0,8.392918680910414,1458.0,1.5814150111529863
27568.0,9.5108280396609,1675.0,1.6840212986702394,29078.0,8.76775689315688,1444.0,1.4951567643561663
27579.0,9.470784826738225,1565.0,1.6078390729096617,29100.0,8.396120756039661,1744.0,1.7774701122663075
27711.0,9.679611284001801,1715.0,1.740462290420278,29185.0,8.59456075721005,1475.0,1.6392136786810316
31073.0,9.45171675460998,964.0,1.2597594016319147,32786.0,8.451770432134323,809.0,1.2067387287126405
26867.0,7.93936766905117,144.0,0.328861673048107,28255.0,9.174807878608412,282.0,0.5513038522448397
26867.0,7.93936766905117,144.0,0.328861673048107,28255.0,9.174807878608412,282.0,0.5513038522448397
27078.0,7.2392462271634335,26.0,0.12643550727544856,28524.0,8.151088500930413,0.0,0.0
